feature,domain,degree,strength,betweenness,bridge_degree,bridge_strength
SHBG,endocrine,14,0.7706616981235637,0.008097165991902834,11,0.5036903659472151
FT4,thyroid,12,0.4191645688299879,0.03508771929824561,11,0.4169465999208654
ATA_TG,thyroid,9,0.6544722123969989,0.05128205128205128,8,0.2764631404174702
ANDRO,endocrine,12,0.7821609854433416,0.22132253711201078,7,0.20284560202546556
GLU120,metabolic,15,0.29692201401594476,0.1282051282051282,9,0.1769441439486773
DHEAS,endocrine,12,0.6795819678831168,0.0,6,0.1708414143860796
HDL,metabolic,12,1.4823606371758014,0.0,4,0.14613630204086245
TG_HDL_ratio,metabolic,14,1.2353275982388208,0.044534412955465584,7,0.11762989507073798
TSH,thyroid,11,0.16957634631372034,0.11066126855600539,10,0.11750832718289665
TCHOL,metabolic,11,1.4313307265817428,0.11740890688259109,6,0.1169777055642514
